course_name,instructor,course_description,avg_rating,reviews_count,course_hours,lectures_count,level,price_after_discount,main_price,Bestseller,student_count,
2022 Complete Python Bootcamp From Zero to Hero in Python,Jose Portilla,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,4.6,440383,22,155,All,320,1400,No,1629692,1408053888
The Web Developer Bootcamp 2022,Colt Steele,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",4.7,248508,64,615,All,270,1400,No,830559,
The Complete 2022 Web Development Bootcamp,Dr. Angela Yu,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",4.7,234837,65.5,490,All,350,1700,Yes,794897,
Angular - The Complete Guide (2023 Edition),Maximilian Schwarzmüller,"Master Angular 14 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",4.6,174576,34.5,472,All,320,1600,Yes,634196,
Java Programming Masterclass covering Java 11 & Java 17,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,4.5,171838,80.5,401,All,350,850,Yes,727934,
"React - The Complete Guide (incl Hooks, React Router, Redux)","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",4.6,166128,49.5,495,All,320,1600,Yes,649985,
Machine Learning A-Z™: Hands-On Python & R In Data Science,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,4.5,163104,42.5,287,All,270,1300,No,900823,
The Complete JavaScript Course 2023: From Zero to Expert!,Jonas Schmedtmann,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",4.7,156031,69,320,All,350,1700,Yes,699335,
100 Days of Code: The Complete Python Pro Bootcamp for 2022,Dr. Angela Yu,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",4.7,150024,64,676,All,320,1400,Yes,662274,
Python for Data Science and Machine Learning Bootcamp,Jose Portilla,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",4.6,122487,25,165,All,320,1400,Yes,588524,
The Data Science Course 2022: Complete Data Science Bootcamp,"365 Careers, 365 Careers Team","Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",4.6,114535,32,517,All,320,1700,Yes,539202,
Automate the Boring Stuff with Python Programming,Al Sweigart,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",4.7,103366,9.5,51,All,320,480,No,1060445,
Complete C# Unity Game Developer 2D,"GameDev.tv Team, Rick Davidson, Gary Pettie","Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",4.7,96126,18.5,140,All,350,1600,No,433485,
Learn Python Programming Masterclass,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,4.6,94413,72.5,534,All,270,850,No,394722,
Selenium WebDriver with Java -Basics to Advanced+Frameworks,Rahul Shetty,"""TOP RATED  #1 Master SELENIUM java 4.0 (Latest) course"" -5 Million students learning worldWide with great collaboration",4.6,89742,53.5,327,All,320,1400,Yes,280503,
Build Responsive Real-World Websites with HTML and CSS,Jonas Schmedtmann,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",4.8,85094,37.5,151,All,350,1700,Yes,341962,
iOS & Swift - The Complete iOS App Development Bootcamp,Dr. Angela Yu,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,4.8,80067,60.5,542,All,350,1700,Yes,311592,
Modern React with Redux,Stephen Grider,"Master React and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",4.7,77591,52.5,574,All,320,1400,Yes,275832,
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"Colt Steele, Ian Schoonover","JUST COMPLETELY REDONE!  Master SQL, Work With Complex Databases, Build Reports, and More!",4.6,74438,37.5,650,Beginner,320,1400,Yes,344881,
The Complete Web Developer Course 2.0,"Rob Percival, Codestars • over 2 million students worldwide!","Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",4.6,70448,28.5,288,All,270,1300,No,304994,
The Complete Node.js Developer Course (3rd Edition),"Andrew Mead, Rob Percival","Learn Node.js by building real-world applications with Node JS, Express, MongoDB, Jest, and more!",4.6,67880,35,177,All,270,630,No,283695,
Spring & Hibernate for Beginners (includes Spring Boot),Chad Darby,"Spring 5: Learn Spring 5 Core, AOP, Spring MVC, Spring Security, Spring REST, Spring Boot 2, Thymeleaf, JPA & Hibernate",4.6,66391,42.5,568,All,350,1700,Yes,282683,
Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,"Sam Pattuzzi, GameDev.tv Team, Stephen Ulibarri",Created in collaboration with Epic Games. Learn C++ from basics while making your first 5 video games in Unreal,4.7,61325,29.5,207,All,270,1300,Yes,319855,
The Python Mega Course: Learn Python in 40 Days with 18 Apps,Ardit Sulce,"New in 2022! Take the full course to become a Python programmer, or pick any project to master specific areas of Python.",4.6,59372,36.5,335,All,320,1400,No,279373,
C# Basics for Beginners: Learn C# Fundamentals by Coding,Mosh Hamedani,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",4.5,57641,5.5,87,Beginner,350,1400,No,191563,
The Complete Web Developer in 2023: Zero to Mastery,"Andrei Neagoie, Zero To Mastery","Learn to code and become a Web Developer in 2023 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",4.7,57562,38.5,399,All,320,1700,No,197701,
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Bret Fisher, Docker Captain Program","Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",4.7,56703,20,180,All,350,1700,Yes,280933,
Vue - The Complete Guide (incl. Router & Composition API),Maximilian Schwarzmüller,Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,4.7,56394,32,329,All,320,1600,Yes,206761,
Flutter & Dart - The Complete Guide [2023 Edition],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",A Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android apps,4.6,54299,42.5,378,All,320,1600,Yes,216495,
Beginning C++ Programming - From Beginner to Beyond,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,4.6,53453,46,305,All,350,850,Yes,223168,
Docker and Kubernetes: The Complete Guide,Stephen Grider,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",4.7,51210,22,321,All,270,720,No,264566,
R Programming A-Z™: R For Data Science With Real Exercises!,"Kirill Eremenko, Ligency I Team, Ligency Team","Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",4.6,48259,10.5,79,All,270,1400,Yes,242563,
